V1	probe_id
553	RPAP3	218842_at
554	LTB4R	210128_s_at
555	PBX1	205253_at
556	THBS1	201107_s_at
557	NCSTN	208759_at
558	SEC22B	209206_at
559	ARSD	206831_s_at
560	RAD51	205023_at
562	CDC23	202892_at
563	HES1	203393_at
564	C1orf21	221272_s_at
565	BRINP1	205818_at
568	ARSL	205894_at
569	CARD8	204950_at
570	RBBP5	205169_at
571	CSRP2	207030_s_at
572	RBL1	205296_at
574	OBSL1	212775_at
575	SNAP25	202507_s_at
576	ENDOD1	212570_at
577	FANCC	205189_s_at
579	TIMM10	218408_at
580	CCP110	204662_at
581	EXOSC8	215136_s_at
582	NUP155	206550_s_at
587	NGRN	217722_s_at
590	PIGN	219048_at
591	NUDT1	204766_s_at
592	FRS2	221308_at
593	ADRA1D	210960_at
594	CRY1	209674_at
596	UBA3	209115_at
597	IFT122	216678_at
598	SMCHD1	212569_at
600	PATZ1	209431_s_at
602	ZMYM3	207559_s_at
604	HIP1	205425_at
605	ATG3	220237_at
606	AMH	206516_at
608	NOC3L	218889_at
609	CUL3	201370_s_at
610	MRC2	209280_at
611	CLDN1	218182_s_at
612	GALC	204417_at
613	TIPIN	219258_at
615	DYRK1A	209033_s_at
616	HDAC6	206846_s_at
618	GSDMD	218154_at
620	UCKL1	218533_s_at
621	XRCC2	207598_x_at
622	RBPJ	207785_s_at
623	ANKFY1	219868_s_at
624	CENPO	219472_at
625	ATF3	202672_s_at
627	POLR2A	202725_at
629	BAAT	206913_at
630	CHRNA5	206533_at
631	CDC7	204510_at
633	KLHL2	219157_at
634	SMC1A	201589_at
635	DUT	208955_at
638	UTP20	209725_at
639	VASH2	219740_at
640	USP25	220419_s_at
641	POT1	204353_s_at
646	RFC1	208021_s_at
648	TPBG	203476_at
649	SNRPF	203832_at
650	THYN1	218491_s_at
651	DHX40	218277_s_at
653	GPD2	210007_s_at
654	NUP54	215213_at
655	IPO8	205701_at
656	NUP160	212709_at
657	RANBP1	202482_x_at
658	H1-10	204805_s_at
659	IRS2	209184_s_at
660	TEDC2	219556_at
662	ANXA6	200982_s_at
663	HEATR6	218991_at
664	FRYL	212546_s_at
665	CHN1	212624_s_at
666	TGFB1I1	209651_at
667	SLC47A1	219525_at
668	WDR91	218971_s_at
669	F2R	203989_x_at
670	TRAIP	205598_at
671	TMEM185B	219253_at
672	BRCA2	208368_s_at
675	INA	204465_s_at
678	NTAQ1	219060_at
680	SYT13	221859_at
682	GRB10	209409_at
683	CARHSP1	218384_at
684	EBAG9	204274_at
685	NPAT	209798_at
686	BRIP1	221703_at
687	GTPBP2	221050_s_at
688	LRRC49	219338_s_at
689	LPIN2	202459_s_at
690	BARD1	205345_at
691	NFYB	218127_at
692	MRPL44	218202_x_at
693	FRK	207178_s_at
694	NOL10	218591_s_at
695	UNC13B	202893_at
697	SEC31B	209889_at
698	MAGOHB	218894_s_at
699	STK17B	205214_at
700	SP4	206663_at
701	PSMC3IP	205956_x_at
702	GPRC5B	203631_s_at
706	MTMR1	213511_s_at
707	HNRNPAB	201277_s_at
708	RAD51C	206066_s_at
709	MSH3	205887_x_at
710	GABPB1	204618_s_at
712	LEPR	207255_at
713	SRGN	201858_s_at
716	HSPA14	219212_at
717	CAPN5	205166_at
719	RNASEH2B	215040_at
720	ADGRL1	203488_at
721	UBR7	218108_at
722	APPL1	218158_s_at
723	CENPM	218741_at
724	INTS7	218783_at
725	WDR48	221735_at
726	CENPC	204739_at
728	TRIM2	202341_s_at
729	PTPN2	204935_at
733	MAP4K2	204936_at
735	PPP2R3B	219264_s_at
736	TAF6	203572_s_at
737	ELP4	203829_at
739	PAQR6	219236_at
740	ALDH4A1	203722_at
741	ATP2A3	207521_s_at
742	CEP85	219611_s_at
743	BTBD7	217141_at
744	PAFAH2	205232_s_at
745	SUV39H2	219262_at
747	AUTS2	212599_at
748	CNTLN	220095_at
749	CINP	217598_at
750	CPSF4	206688_s_at
751	BMP6	206176_at
752	LUC7L2	217842_at
753	CEP295	215018_at
754	KIF13B	202962_at
755	ROBO1	213194_at
757	MDC1	203061_s_at
759	TPRKB	219030_at
760	PIGA	205281_s_at
761	DHX35	218579_s_at
762	TMEM209	222267_at
765	CASP9	203984_s_at
766	MDM1	213761_at
767	DONSON	221677_s_at
769	TRIM9	209859_at
772	MBOAT2	213288_at
773	TENM3	219523_s_at
774	KYAT3	209472_at
777	GTF2IRD1	218412_s_at
779	RND1	210056_at
781	MIS18A	219004_s_at
784	ADGRB2	204966_at
785	JUND	203751_x_at
788	THAP10	219596_at
789	AFAP1	203563_at
790	SNIP1	219409_at
791	VRK2	205126_at
793	SLC19A2	209681_at
795	CEP83	219644_at
796	GADD45GIP1	212889_x_at
797	VASH1	203940_s_at
799	NAA16	219378_at
801	PALM	203859_s_at
802	ZNF580	220748_s_at
803	PAFAH1B3	203228_at
804	PTGS2	204748_at
805	RBFA	219419_at
807	MCUB	218802_at
808	ANPEP	202888_s_at
809	GPN3	218461_at
811	WRAP53	220258_s_at
813	THAP9-AS1	215009_s_at
816	CEP41	215637_at
818	OGG1	205301_s_at
820	DCLRE1B	219490_s_at
821	ECSIT	218225_at
823	SCD5	220232_at
824	BCL7C	219072_at
825	RNF138	218738_s_at
826	METTL4	219698_s_at
827	LOC102724159	209336_at
828	PLD2	209643_s_at
829	METTL1	204027_s_at
830	PGAP2	215293_s_at
833	HIPK3	207764_s_at
834	CASP8AP2	222201_s_at
835	CUL9	213204_at
838	POLR3G	206653_at
839	PID1	219093_at
840	DNMT3B	220668_s_at
841	CHML	206079_at
843	SCML1	218793_s_at
844	NRF1	204651_at
846	CEP131	214742_at
847	UBE2S	202779_s_at
848	CDK19	211706_s_at
849	LRP4	212850_s_at
850	GASK1B	219872_at
851	RPA3	209507_at
852	NKX2-5	206578_at
856	TTC21B	220064_at
857	SLC4A4	203908_at
859	NFIL3	203574_at
860	PIGB	205452_at
861	TNS1	218863_s_at
868	MICALL2	219332_at
869	DDAH2	202262_x_at
870	POLQ	207746_at
871	ATP5F1D	203926_x_at
872	ALG6	219649_at
874	GSTCD	220063_at
875	NR4A2	204621_s_at
878	RASSF1	204346_s_at
879	CRMP1	202517_at
881	MTARC1	218865_at
882	KLHL28	220374_at
883	COMMD3	218048_at
884	SIPA1	204164_at
885	CNNM4	218900_at
887	CEP70	219036_at
888	LSM2	209449_at
889	NMB	205204_at
890	ING1	208415_x_at
891	LIMK2	202193_at
892	CEP162	206005_s_at
893	DHRS4	218021_at
894	FOXF2	206377_at
896	JAK2	205841_at
898	SEPTIN6	212413_at
899	KLHL26	219354_at
900	STXBP2	209367_at
901	NID1	202007_at
902	WIPF1	202663_at
903	NT5C	219214_s_at
