V1	probe_id
669	NUP160	212709_at
670	RANBP1	202482_x_at
671	NUP62CL	220520_s_at
672	H1-10	204805_s_at
673	IRS2	209184_s_at
674	TEDC2	219556_at
676	ANXA6	200982_s_at
677	HEATR6	218991_at
678	FRYL	212546_s_at
679	CHN1	212624_s_at
680	TGFB1I1	209651_at
681	SLC47A1	219525_at
683	F2R	203989_x_at
684	TRAIP	205598_at
685	TMEM185B	219253_at
686	BRCA2	208368_s_at
687	ARHGEF16	208009_s_at
690	INA	204465_s_at
693	NTAQ1	219060_at
694	KIF24	220652_at
696	SYT13	221859_at
698	GRB10	209409_at
699	CARHSP1	218384_at
700	EBAG9	204274_at
701	NPAT	209798_at
702	BRIP1	221703_at
703	GTPBP2	221050_s_at
704	LRRC49	219338_s_at
705	LPIN2	202459_s_at
706	BARD1	205345_at
707	NFYB	218127_at
708	MRPL44	218202_x_at
709	FRK	207178_s_at
710	NOL10	218591_s_at
711	UNC13B	202893_at
712	SEC31B	209889_at
713	MAGOHB	218894_s_at
714	IGFBP6	203851_at
715	PSMC3IP	205956_x_at
716	TNS2	212494_at
717	GPRC5B	203631_s_at
721	MTMR1	213511_s_at
722	HNRNPAB	201277_s_at
723	RAD51C	206066_s_at
724	MSH3	205887_x_at
725	GABPB1	204618_s_at
727	SRGN	201858_s_at
729	HSPA14	219212_at
730	CAPN5	205166_at
732	RNASEH2B	215040_at
733	ADGRL1	203488_at
734	UBR7	218108_at
735	APPL1	218158_s_at
736	CENPM	218741_at
737	INTS7	218783_at
738	WDR48	221735_at
739	CENPC	204739_at
741	PTPN2	204935_at
745	MAP4K2	204936_at
747	PPP2R3B	219264_s_at
748	TAF6	203572_s_at
749	ELP4	203829_at
751	ALDH4A1	203722_at
752	CEP85	219611_s_at
753	BTBD7	217141_at
754	PAFAH2	205232_s_at
755	SUV39H2	219262_at
756	AUTS2	212599_at
757	CNTLN	220095_at
758	CINP	217598_at
759	CPSF4	206688_s_at
760	EPB41L4B	220161_s_at
761	LUC7L2	217842_at
762	CEP295	215018_at
763	KIF13B	202962_at
764	ROBO1	213194_at
767	MDC1	203061_s_at
768	BAHCC1	219218_at
770	TPRKB	219030_at
771	PIGA	205281_s_at
772	DHX35	218579_s_at
773	TMEM209	222267_at
775	CASP9	203984_s_at
776	MDM1	213761_at
777	DONSON	221677_s_at
780	TRIM9	209859_at
781	CA11	209726_at
783	MBOAT2	213288_at
784	TENM3	219523_s_at
786	KYAT3	209472_at
787	ADGRG2	206002_at
790	GTF2IRD1	218412_s_at
792	MIS18A	219004_s_at
796	ADGRB2	204966_at
797	JUND	203751_x_at
800	THAP10	219596_at
801	AFAP1	203563_at
802	SNIP1	219409_at
803	VRK2	205126_at
804	SLC19A2	209681_at
806	CEP83	219644_at
807	GADD45GIP1	212889_x_at
808	VASH1	203940_s_at
